"Postcode","OA_Code","Total","Percentage"
"S20 5AD","E00040683",53,90
"S20 5AZ","E00040670",24,71
"S20 5AZ","E00040731",10,29
"S20 5BL","E00040682",1,1
"S20 5BL","E00040687",105,99
"S20 5BP","E00040682",68,97
"S20 5BP","E00040685",2,3
"S20 5EL","E00040635",14,13
"S20 5EL","E00040678",98,88
"S20 5EN","E00040635",48,37
"S20 5EN","E00040678",83,63
"S20 5ET","E00040635",3,33
"S20 5ET","E00040678",6,67
"S20 5EZ","E00040638",26,63
"S20 5EZ","E00040688",15,37
"S20 5FE","E00040683",1,14
"S20 5FE","E00040686",6,86
"S20 5PN","E00040632",57,63
"S20 5PN","E00040670",33,37
"S20 6QH","E00172403",62,59
"S20 6QH","E00172511",43,41
"S20 6RN","E00040722",23,96
"S20 6RN","E00040723",1,4
"S20 7HJ","E00040736",2,5
"S20 7HJ","E00040737",42,95
"S20 8EB","E00040676",2,3
"S20 8EB","E00040677",57,97
"S20 8GH","E00040639",4,14
"S20 8GH","E00172402",24,86
"S20 8GS","E00040694",75,67
"S20 8GS","E00172438",37,33
"S20 8GW","E00040694",7,6
"S20 8GW","E00172438",105,94
"S21 1AB","E00100210",130,94
"S21 1AB","E00100218",9,6
"S21 1AL","E00100216",1,1
"S21 1AL","E00100219",73,99
"S21 1AU","E00100210",2,50
"S21 1AU","E00100217",2,50
"S21 1BJ","E00100210",52,88
"S21 1BJ","E00100218",7,12
"S21 1DD","E00100216",4,50
"S21 1DD","E00100218",4,50
"S21 1DF","E00100225",16,47
"S21 1DF","E00100230",18,53
"S21 1DL","E00100225",15,71
"S21 1DL","E00100230",6,29
"S21 1DU","E00100235",4,4
"S21 1DU","E00100237",95,96
"S21 1DX","E00100219",45,64
"S21 1DX","E00100231",25,36
"S21 1ED","E00100219",62,75
"S21 1ED","E00100231",21,25
"S21 1EF","E00100219",4,5
"S21 1EF","E00100232",77,95
"S21 1EJ","E00100211",8,20
"S21 1EJ","E00100225",33,80
"S21 1EP","E00100225",2,18
"S21 1EP","E00100230",9,82
"S21 1FW","E00100225",3,2
"S21 1FW","E00100228",132,98
"S21 1FZ","E00100228",99,94
"S21 1FZ","E00100238",6,6
"S21 1HB","E00100222",39,57
"S21 1HB","E00100229",29,43
"S21 1JF","E00100210",1,10
"S21 1JF","E00100218",9,90
"S21 1JR","E00100225",2,17
"S21 1JR","E00100228",10,83
"S21 2DR","E00100212",75,96
"S21 2DR","E00100213",3,4
"S21 2DS","E00039269",12,9
"S21 2DS","E00100213",115,91
"S21 3UD","E00100280",4,36
"S21 3UD","E00100281",7,64
"S21 3UG","E00100277",104,95
"S21 3UG","E00165876",5,5
"S21 3UL","E00098513",2,1
"S21 3UL","E00100280",154,97
"S21 3UL","E00100281",2,1
"S21 3UU","E00165874",79,39
"S21 3UU","E00165875",37,18
"S21 3UU","E00165877",85,42
"S21 3UW","E00098513",2,22
"S21 3UW","E00165876",7,78
"S21 3UX","E00165875",21,78
"S21 3UX","E00165876",6,22
"S21 3YH","E00098513",9,43
"S21 3YH","E00100279",12,57
"S21 4AR","E00100141",3,5
"S21 4AR","E00100153",52,95
"S21 4BZ","E00100157",12,63
"S21 4BZ","E00100162",7,37
"S21 4EJ","E00098771",19,50
"S21 4EJ","E00100155",19,50
"S21 4EY","E00100157",7,26
"S21 4EY","E00165811",20,74
