"Postcode","OA_Code","Total","Percentage"
"M16 7LL","E00026574",8,73
"M16 7LQ","E00175967",33,72
"M16 7LQ","E00175968",13,28
"M16 7NP","E00026535",2,8
"M16 7NP","E00026574",22,92
"M16 7NR","E00030961",72,87
"M16 7NR","E00030963",11,13
"M16 7PD","E00026559",17,22
"M16 7PD","E00175968",61,78
"M16 7PE","E00026559",5,17
"M16 7PE","E00175968",24,83
"M16 7PG","E00030954",41,93
"M16 7PG","E00030955",3,7
"M16 7SF","E00030976",79,96
"M16 7SF","E00030978",3,4
"M16 7TX","E00026561",90,99
"M16 7TX","E00026571",1,1
"M16 7WU","E00030962",77,79
"M16 7WU","E00030963",21,21
"M16 7YA","E00026561",1,3
"M16 7YA","E00026571",37,97
"M16 8DT","E00026840",16,52
"M16 8DT","E00026841",15,48
"M16 8EA","E00026823",26,36
"M16 8EA","E00175838",47,64
"M16 8EE","E00026573",42,51
"M16 8EE","E00176044",2,2
"M16 8EE","E00176045",38,46
"M16 8EX","E00175974",13,12
"M16 8EX","E00176045",95,88
"M16 8FT","E00175974",90,98
"M16 8FT","E00176044",2,2
"M16 8FX","E00026823",8,24
"M16 8FX","E00026833",5,15
"M16 8FX","E00175974",12,35
"M16 8FX","E00176045",9,26
"M16 8GL","E00026230",24,57
"M16 8GL","E00175880",18,43
"M16 8HG","E00026222",34,34
"M16 8HG","E00026823",66,66
"M16 8HJ","E00026222",90,71
"M16 8HJ","E00175973",36,29
"M16 8HR","E00026823",44,85
"M16 8HR","E00175973",6,12
"M16 8HR","E00176045",2,4
"M16 8JA","E00026222",69,87
"M16 8JA","E00175973",10,13
"M16 8LD","E00175838",24,20
"M16 8LD","E00176042",98,80
"M16 8LP","E00026245",28,27
"M16 8LP","E00026252",75,73
"M16 8QJ","E00026245",136,82
"M16 8QJ","E00026252",29,18
"M16 9AS","E00030955",142,90
"M16 9AS","E00030962",16,10
"M16 9BB","E00030961",34,87
"M16 9BB","E00030962",5,13
"M16 9GA","E00030969",8,89
"M16 9GA","E00031375",1,11
"M16 9HN","E00031365",3,5
"M16 9HN","E00168598",59,95
"M16 9JU","E00030946",4,11
"M16 9JU","E00030964",32,89
"M16 9LH","E00030946",53,98
"M16 9LH","E00030964",1,2
"M16 9RB","E00026835",6,23
"M16 9RB","E00026837",20,77
"M16 9YD","E00031363",64,97
"M16 9YD","E00031369",2,3
"M18 7AX","E00026260",25,86
"M18 7AX","E00026299",4,14
"M18 7BG","E00026307",16,27
"M18 7BG","E00026323",43,73
"M18 7DY","E00026324",7,11
"M18 7DY","E00026327",58,89
"M18 7EA","E00026306",27,82
"M18 7EA","E00026327",6,18
"M18 7FE","E00026306",2,5
"M18 7FE","E00026324",42,95
"M18 7JD","E00026294",11,28
"M18 7JD","E00026296",28,72
"M18 7LJ","E00026296",4,80
"M18 7LJ","E00026299",1,20
"M18 7LL","E00026295",41,38
"M18 7LL","E00026298",68,62
"M18 7QT","E00026325",2,40
"M18 7QT","E00026328",3,60
"M18 7RN","E00026329",65,93
"M18 7RN","E00026333",5,7
"M18 7SE","E00026331",1,4
"M18 7SE","E00026336",25,96
"M18 7SL","E00026302",36,80
"M18 7SL","E00026331",9,20
"M18 8AH","E00026281",73,97
"M18 8AH","E00175975",2,3
"M18 8BA","E00175975",67,56
"M18 8BA","E00175976",26,22
"M18 8BA","E00176047",26,22
"M18 8BF","E00026274",13,37
"M18 8BF","E00026275",22,63
"M18 8BG","E00175975",28,78
"M18 8BG","E00176047",8,22
"M18 8HJ","E00026278",6,21
"M18 8HJ","E00026289",23,79
"M18 8RB","E00026274",62,85
"M18 8RB","E00026275",11,15
"M18 8SD","E00026268",5,6
"M18 8SD","E00026269",78,94
"M18 8TF","E00026261",6,10
"M18 8TF","E00026300",55,90
"M18 8TX","E00026286",13,93
"M18 8TX","E00026289",1,7
"M19 1AN","E00025909",17,89
"M19 1AN","E00025940",2,11
"M19 1GN","E00025928",20,53
"M19 1GN","E00026202",18,47
"M19 1HZ","E00025945",16,80
"M19 1HZ","E00029726",4,20
"M19 1QP","E00025929",25,44
"M19 1QP","E00026205",32,56
"M19 1SP","E00025909",2,29
"M19 1SP","E00025911",5,71
"M19 1TF","E00025908",13,38
"M19 1TF","E00029633",21,62
"M19 2AJ","E00026522",24,30
"M19 2AJ","E00026755",57,70
"M19 2EE","E00026410",2,2
"M19 2EE","E00026439",112,98
"M19 2EQ","E00026448",42,64
