"Postcode","OA_Code","Total","Percentage"
"B10 0JS","E00047466",8,42
"B10 0JU","E00047460",2,2
"B10 0JU","E00047466",83,98
"B10 0QT","E00047460",8,6
"B10 0QT","E00047519",126,94
"B10 9BQ","E00047348",11,48
"B10 9BQ","E00175762",12,52
"B10 9DD","E00047293",91,96
"B10 9DD","E00047294",4,4
"B10 9EH","E00047295",69,92
"B10 9EH","E00047301",6,8
"B10 9LN","E00047298",5,2
"B10 9LN","E00047309",198,98
"B10 9RX","E00047311",2,29
"B10 9RX","E00047357",5,71
"B10 9SJ","E00047295",16,41
"B10 9SJ","E00047364",23,59
"B11 1AA","E00047481",18,55
"B11 1AA","E00047498",15,45
"B11 1AA","E00047502",0,0
"B11 1JJ","E00047447",5,7
"B11 1JJ","E00047471",71,93
"B11 1JT","E00047471",2,7
"B11 1JT","E00047474",27,93
"B11 1LA","E00047474",150,98
"B11 1LA","E00047480",3,2
"B11 1LT","E00047480",100,98
"B11 1LT","E00047481",2,2
"B11 1LX","E00047453",115,99
"B11 1LX","E00047482",1,1
"B11 1NA","E00047478",1,1
"B11 1NA","E00047488",123,99
"B11 1NP","E00047498",1,1
"B11 1NP","E00047502",101,99
"B11 1RD","E00047450",2,11
"B11 1RD","E00047474",1,5
"B11 1RD","E00047477",16,84
"B11 1SS","E00047450",45,96
"B11 1SS","E00047492",2,4
"B11 1TN","E00047500",112,92
"B11 1TN","E00047508",10,8
"B11 1XE","E00047483",1,5
"B11 1XE","E00047492",20,95
"B11 2HX","E00047327",1,10
"B11 2HX","E00047330",9,90
"B11 2JE","E00047326",95,98
"B11 2JE","E00047329",2,2
"B11 2NJ","E00047325",8,11
"B11 2NJ","E00047327",66,89
"B11 2NZ","E00047325",9,10
"B11 2NZ","E00047327",28,30
"B11 2NZ","E00047328",57,61
"B11 2QG","E00047311",3,14
"B11 2QG","E00047322",1,5
"B11 2QG","E00047325",17,81
"B11 3AA","E00047592",24,92
"B11 3AA","E00047594",2,8
"B11 3EA","E00045748",21,88
"B11 3EA","E00045759",3,13
"B11 3EH","E00045748",1,1
"B11 3EH","E00045817",172,99
"B11 3FJ","E00045747",113,62
"B11 3FJ","E00045803",69,38
"B11 3FL","E00045747",63,85
"B11 3FL","E00045803",11,15
"B11 3HB","E00047331",26,10
"B11 3HB","E00047333",225,90
"B11 3NQ","E00047525",5,19
"B11 3NQ","E00047529",21,81
"B11 3PL","E00045800",170,99
"B11 3PL","E00045804",2,1
"B11 3SH","E00047524",3,1
"B11 3SH","E00047561",251,99
"B11 4AE","E00047553",17,94
"B11 4AE","E00047556",1,6
"B11 4AJ","E00047524",2,13
"B11 4AJ","E00047562",6,40
"B11 4AJ","E00047570",7,47
"B11 4HB","E00047535",4,2
"B11 4HB","E00047597",246,98
"B11 4JW","E00047533",23,74
"B11 4JW","E00047542",8,26
"B11 4JZ","E00047522",8,80
"B11 4JZ","E00047553",2,20
"B11 4NR","E00047562",29,15
"B11 4NR","E00047575",159,85
"B11 4QD","E00047522",1,1
"B11 4QD","E00047554",117,99
"B1  1HN","E00175626",4,67
"B1  1HN","E00175627",2,33
"B1  1JW","E00175678",112,79
"B1  1JW","E00175718",30,21
"B1  1JY","E00175678",117,83
"B1  1JY","E00175718",24,17
"B1  1LA","E00175627",4,3
"B1  1LA","E00175630",137,97
"B1  1LJ","E00175630",29,26
"B1  1LJ","E00175643",81,74
"B1  1PP","E00175627",17,50
